Under der linden	Unter der Linde
an der heide,	auf der Heide,
dâ unser zweier bette was,	wo unser beider Lager war,
Dâ mugt ir vinden	da könnt Ihr finden
schône beide	schön gesammelt
gebrochen bluomen unde gras.	beides, Blumen und Gras.
Vor dem walde in einem tal,	Vor dem Wald in einem Tal,
tandaradei,	tandaradei,
schône sanc diu nahtegal.	sang schön die Nachtigall.
Ich kam gegangen	Ich kam gegangen
zuo der ouwe:	zu der Aue,
dô was mîn friedel komen ê.	da war mein Liebster schon vorher gekommen.
Dâ wart ich enpfangen,	Da wurde ich empfangen,
hêre frouwe,	heilige Herrin,
daz ich bin sælic iemer mê.	dass es mich allzeit glücklich machen wird.
Kuste er mich? wol tûsentstunt:	Küsste er mich?  Wohl tausendmal,
tandaradei,	tandaradei,
seht wie rôt mir ist der munt.	seht, wie rot mein Mund ist!
Dô het er gemachet	Da hatte er gerüstet
alsô rîche	so prächtig
von bluomen eine bettestat.	von Blumen eine Lagerstatt.
Des wirt noch gelachet	Darüber wird noch herzlich
inneclîche,	gelacht werden,
kumt iemen an daz selbe pfat.	kommt jemand an dem Platz vorbei.
Bî den rôsen er wol mac,	An den Rosen kann er noch,
tandaradei,	tandaradei,
merken wâ mirz houbet lac.	merken, wo mein Kopf gelegen hat.
Daz er bî mir læge,	Dass er bei mir lag,
wessez iemen	wüsste es jemand,
(nu enwelle got!), sô schamt ich mich.	(das wolle Gott nicht!), so schämte ich mich.
Wes er mit mir pflæge,	Was er mit mir da tat
niemer niemen	soll niemals einer
bevinde daz wan er und ich —	erfahren außer ihm und mir,
Und ein kleinez vogellîn,	und ein kleines Vöglein,
tandaradei,	tandaradei,
daz mac wol getriuwe sin.	das kann wohl verschwiegen sein.
Diu werlt was gelf, rôt unde blâ,	Die Welt war gelb und rot und blau,
grüen in dem walde und anderswâ:	auch grün im Wald und in der Au:
Kleine vogele sungen dâ –	Wo kleine Vögel sangen süß und schlau,
nû schriet aber diu nebelkrâ.	schreit nun die Nebelkrähe rauh.
Pfligt si iht ander varwe? Jâ!	Hat auch die Farbe sich gewandelt? Schau:
sist worden bleich und übergrâ.	Sie'st bleich geworden, grau in grau –
